TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEACOV_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEACOV_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trusts,WEYDON MULTI ACADEMY TRUST,16644,TR02463,7552535,10058582,South East,136531;137314;144520,3,3,0,0,0,0,3,0,0,3,686,107.2,10%,90%,6%,13%,54.8,95%,0.21,0.1,0.32,58%,4.87,23%,31%,39%,34.9,100%,-0.74,-1.07,-0.41,24%,2.94,7%,7%,15%,57.1,94%,0.33,0.21,0.44,63%,5.09,25%,34%,42%,Above average,136531;137019;137314;144520,4,4,0,0,0,0,869,11%,89%
202223,AcademicYear,Multi-academy trusts,MAGNA LEARNING PARTNERSHIP,16649,TR02045,7865850,10059466,South West,136183;144388;144389,3,2,1,0,0,0,3,0,0,3,514,103.1,17%,83%,6%,17%,42.5,96%,-0.14,-0.27,-0.02,37%,3.62,9%,13%,19%,30.5,98%,-0.88,-1.18,-0.58,11%,2.51,2%,2%,10%,45,96%,0.01,-0.12,0.15,42%,3.85,10%,15%,20%,Below average,136183;144388;144389,3,2,1,0,0,0,514,17%,83%
202223,AcademicYear,Multi-academy trusts,WAVENEY VALLEY ACADEMIES TRUST,16656,TR01927,7682294,10058936,East of England,137055;141236;145055,3,1,2,0,0,0,3,0,1,2,465,103.5,20%,80%,2%,13%,44.6,98%,-0.05,-0.18,0.08,38%,3.71,6%,10%,19%,34.6,98%,-0.48,-0.77,-0.19,20%,2.87,3%,6%,15%,47,98%,0.05,-0.09,0.2,43%,3.92,7%,11%,21%,Average,137055;141236;145055,3,1,2,0,0,0,465,20%,80%
202223,AcademicYear,Multi-academy trusts,MULBERRY SCHOOLS TRUST,16669,TR03507,10035860,10064234,London,137789;143629;144756,3,2,0,0,0,1,3,0,0,3,400,105.3,56%,44%,70%,13%,52.7,94%,0.43,0.29,0.58,55%,4.76,28%,40%,81%,48,94%,0.14,-0.05,0.33,46%,4.26,20%,30%,75%,58.6,93%,0.8,0.59,1.02,67%,5.39,38%,51%,88%,Above average,137789;143629;144700;144756,4,3,0,0,0,1,587,53%,47%
202223,AcademicYear,Multi-academy trusts,ENRICH LEARNING TRUST,16674,TR02552,7725111,10059209,East of England,137461;144018;144316;147505,4,3,1,0,0,0,4,1,1,2,737,104.4,18%,82%,4%,13%,49.2,98%,0.24,0.14,0.34,48%,4.53,21%,33%,66%,37.5,95%,-0.32,-0.56,-0.07,24%,3.39,7%,14%,50%,51.7,98%,0.35,0.24,0.46,53%,4.76,24%,37%,70%,Above average,137461;144018;144316;147505,4,3,1,0,0,0,737,18%,82%
202223,AcademicYear,Multi-academy trusts,ROYAL WOOTTON BASSETT ACADEMY TRUST,16676,TR01828,7569743,10058663,South West,135804;136911;137650;144773,4,3,1,0,0,0,4,1,1,2,779,103.2,21%,79%,15%,20%,44,92%,-0.01,-0.11,0.09,41%,3.85,14%,22%,40%,30.5,91%,-0.86,-1.09,-0.64,19%,2.59,5%,9%,26%,47.6,92%,0.21,0.1,0.33,46%,4.18,16%,25%,44%,Average,135804;136911;137650;144773,4,3,1,0,0,0,779,21%,79%
202223,AcademicYear,Multi-academy trusts,THE CHALLENGE ACADEMY TRUST,16682,TR03727,10689247,10064284,North West,139196;141598;144799;145157;146765,5,2,3,0,0,0,5,0,1,4,851,104.3,24%,76%,9%,18%,48.3,95%,0.07,-0.03,0.16,45%,4.16,14%,21%,40%,38.2,97%,-0.39,-0.58,-0.19,25%,3.26,8%,17%,40%,51.4,94%,0.21,0.1,0.32,52%,4.44,15%,22%,41%,Average,139196;141598;144799;145157;146765,5,2,3,0,0,0,851,24%,76%
202223,AcademicYear,Multi-academy trusts,SHERBORNE AREA SCHOOLS' TRUST,16706,TR02267,8130468,10059883,South West,138471;140898;147016,3,2,1,0,0,0,3,1,1,1,475,103.8,22%,78%,7%,15%,45.9,96%,-0.08,-0.21,0.05,38%,4.05,17%,25%,35%,34.8,99%,-0.53,-0.81,-0.26,14%,2.98,6%,12%,19%,48.9,95%,0.04,-0.1,0.19,45%,4.34,20%,29%,40%,Average,138471;140898;147016,3,2,1,0,0,0,475,22%,78%
202223,AcademicYear,Multi-academy trusts,SOUTH SUFFOLK LEARNING TRUST,16707,TR00707,7682993,10058940,East of England,136195;136918;137218;144214,4,3,1,0,0,0,4,0,1,3,622,103.7,22%,78%,5%,17%,43.8,96%,-0.13,-0.25,-0.02,37%,3.74,10%,14%,21%,33.1,95%,-0.69,-0.93,-0.45,15%,2.72,3%,4%,11%,46.7,96%,0.02,-0.11,0.14,43%,4.01,12%,17%,24%,Below average,136195;136918;137218;144214,4,3,1,0,0,0,622,22%,78%
202223,AcademicYear,Multi-academy trusts,ADVANCE LEARNING PARTNERSHIP,16711,TR01611,7928558,10059549,North East,137903;144991;145564;147122;148109,5,3,2,0,0,0,5,1,1,3,632,105,35%,65%,2%,18%,46.7,98%,-0.13,-0.24,-0.02,41%,3.78,14%,20%,29%,37.4,97%,-0.62,-0.81,-0.43,23%,2.92,6%,9%,17%,51.6,99%,0.12,-0.02,0.26,50%,4.24,18%,25%,34%,Below average,137903;144991;145564;147122;148109;148706,6,4,2,0,0,0,765,35%,65%
202223,AcademicYear,Multi-academy trusts,ALBAN ACADEMIES TRUST,16752,TR01869,7523557,10058506,East of England,136609;137038;146305,3,2,1,0,0,0,3,0,0,3,568,105.6,15%,85%,11%,27%,53.6,93%,0.37,0.25,0.49,60%,4.76,21%,32%,53%,33.3,96%,-0.54,-0.85,-0.23,14%,2.71,4%,6%,22%,57.1,93%,0.54,0.4,0.67,68%,5.11,24%,36%,58%,Above average,136609;137038;146305,3,2,1,0,0,0,568,15%,85%
202223,AcademicYear,Multi-academy trusts,BISHOP BEWICK CATHOLIC EDUCATION TRUST,16761,TR01843,7841435,10059424,North East,137708;140081;141814,3,3,0,0,0,0,3,2,0,1,658,105.9,27%,73%,16%,13%,52.1,98%,0.2,0.09,0.31,50%,4.55,24%,33%,45%,41.6,97%,-0.27,-0.48,-0.06,32%,3.51,12%,20%,38%,56,98%,0.38,0.25,0.5,57%,4.94,28%,38%,48%,Above average,137708;137734;137900;140081;141814,5,5,0,0,0,0,1113,27%,73%
202223,AcademicYear,Multi-academy trusts,DUDLEY ACADEMIES TRUST,16764,TR03705,10897797,10066093,West Midlands,137390;137705;144657;144952,4,3,1,0,0,0,4,0,0,4,589,100.1,45%,55%,23%,16%,39.2,92%,0.03,-0.09,0.15,31%,3.22,4%,7%,12%,33,92%,-0.39,-0.57,-0.22,17%,2.71,3%,4%,11%,44.3,92%,0.38,0.22,0.54,43%,3.65,5%,8%,14%,Average,137390;137705;144657;144952,4,3,1,0,0,0,589,45%,55%
202223,AcademicYear,Multi-academy trusts,KING EDWARD VI ACADEMY TRUST BIRMINGHAM,16826,TR03804,10654935,10065300,West Midlands,136152;137043;137044;137045;137046;137047;138937;143562;147440,9,7,2,0,0,0,9,0,1,8,1331,110.4,28%,72%,31%,10%,66.4,92%,0.49,0.41,0.57,80%,6.09,47%,52%,57%,55.1,95%,0.2,0.05,0.34,58%,4.89,31%,35%,43%,70.6,91%,0.61,0.52,0.7,88%,6.54,53%,58%,63%,Above average,136152;136592;137043;137044;137045;137046;137047;138937;143562;147440;148684,11,9,2,0,0,0,1633,30%,70%
202223,AcademicYear,Multi-academy trusts,THOMAS TELFORD MULTI ACADEMY TRUST,16830,TR01870,4798185,10058173,West Midlands,133697;134993;135149;140160,4,0,3,0,0,1,4,1,0,3,682,104.8,30%,70%,19%,13%,46.9,98%,-0.06,-0.17,0.04,44%,4.06,15%,26%,46%,39.7,98%,-0.37,-0.56,-0.17,30%,3.3,9%,16%,32%,50.1,98%,0.07,-0.06,0.19,50%,4.38,17%,30%,52%,Average,133697;134993;135149;140160,4,0,3,0,0,1,682,30%,70%
202223,AcademicYear,Multi-academy trusts,PROSPERE LEARNING TRUST,16846,TR03794,10872612,10066112,North West,135874;139148;144755;145873,4,1,1,2,0,0,4,2,0,2,925,104.6,47%,53%,23%,21%,46.6,95%,-0.13,-0.22,-0.04,49%,4.19,19%,30%,60%,37.7,97%,-0.61,-0.75,-0.48,31%,3.26,8%,15%,49%,53.6,93%,0.26,0.13,0.39,63%,4.92,27%,41%,70%,Below average,135874;139148;144755;145873,4,1,1,2,0,0,925,47%,53%
202223,AcademicYear,Multi-academy trusts,THE BISHOP FRASER TRUST,16888,TR03689,11005401,10067113,North West,144044;144046;145314,3,3,0,0,0,0,3,0,0,3,653,105.7,26%,74%,12%,12%,48.3,96%,-0.14,-0.25,-0.03,50%,4.06,14%,19%,27%,35,96%,-0.74,-0.96,-0.52,29%,2.83,5%,6%,16%,52.9,97%,0.06,-0.06,0.19,58%,4.49,17%,24%,30%,Below average,144044;144046;145314;148866,4,4,0,0,0,0,828,23%,77%
202223,AcademicYear,Multi-academy trusts,DARTMOOR MULTI ACADEMY TRUST,16913,TR03738,11075564,10067101,South West,145336;145337;145343,3,3,0,0,0,0,3,0,0,3,603,104.4,22%,78%,2%,16%,43.8,96%,-0.29,-0.4,-0.17,40%,3.78,10%,20%,40%,32.5,95%,-0.87,-1.12,-0.62,18%,2.74,2%,5%,27%,46.9,96%,-0.13,-0.26,0,46%,4.07,12%,24%,44%,Below average,145336;145337;145343,3,3,0,0,0,0,603,22%,78%
202223,AcademicYear,Multi-academy trusts,THE MERCIAN TRUST,16926,TR01715,7611347,10058703,West Midlands,136620;136773;136777;137974;139789,5,4,0,0,1,0,5,0,0,5,818,107.5,25%,75%,19%,11%,52.3,97%,-0.15,-0.25,-0.05,57%,4.71,29%,36%,49%,38.6,99%,-0.92,-1.11,-0.73,35%,3.34,14%,18%,32%,57,97%,0.12,0.01,0.23,64%,5.17,34%,43%,55%,Below average,135449;136620;136773;136777;137974;139789;141698;146383,8,4,3,0,1,0,1501,29%,71%
202223,AcademicYear,Multi-academy trusts,LEARNING COMMUNITY TRUST,16959,TR03737,10846393,10067120,West Midlands,142821;144853;145707,3,2,1,0,0,0,3,0,1,2,611,103.8,24%,76%,16%,17%,43.3,95%,-0.24,-0.35,-0.12,34%,3.74,11%,18%,41%,34.4,95%,-0.62,-0.85,-0.38,20%,2.95,5%,9%,36%,46.1,95%,-0.11,-0.25,0.02,38%,3.99,14%,21%,42%,Below average,142821;144853;145707,3,2,1,0,0,0,611,24%,76%
202223,AcademicYear,Multi-academy trusts,ALPHA TRUST,16995,TR00537,7755713,10059294,East of England,137515;137926;137945,3,3,0,0,0,0,3,0,1,2,656,106.6,SUPPMAT,SUPPMAT,14%,8%,57.6,93%,0.44,0.33,0.56,59%,5.28,33%,40%,49%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,Above average,137515;137926;137945,3,3,0,0,0,0,656,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trusts,EDEN LEARNING TRUST,17010,TR03809,10980753,10067657,North East,138717;145253;147711;147894,4,3,1,0,0,0,4,2,0,2,646,105.1,36%,64%,2%,14%,47.3,97%,-0.06,-0.17,0.05,41%,3.82,15%,21%,29%,39.6,96%,-0.24,-0.42,-0.05,25%,3.01,7%,9%,14%,51.9,98%,0.05,-0.09,0.19,51%,4.3,20%,28%,38%,Average,138717;145253;147711;147894,4,3,1,0,0,0,646,36%,64%
202223,AcademicYear,Multi-academy trusts,LEADING EDGE ACADEMIES PARTNERSHIP,17055,TR01470,7657923,10058841,South West,136873;140836;144638,3,1,2,0,0,0,3,0,2,1,326,104.9,SUPPMAT,SUPPMAT,1%,16%,44.4,97%,-0.37,-0.52,-0.21,43%,3.82,12%,19%,38%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,Below average,136873;140836;144638,3,1,2,0,0,0,326,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trusts,CHORUS EDUCATION TRUST,17155,TR01920,8289609,10060171,Yorkshire and the Humber,139167;145562;147533,3,1,2,0,0,0,3,0,2,1,572,104.1,22%,78%,10%,11%,48.7,98%,0.11,0,0.23,50%,4.32,21%,30%,46%,33.3,98%,-0.51,-0.76,-0.27,24%,2.79,4%,13%,29%,53,98%,0.29,0.16,0.42,58%,4.74,26%,35%,50%,Average,139167;145562;147533,3,1,2,0,0,0,572,22%,78%
202223,AcademicYear,Multi-academy trusts,EAST ANGLIAN SCHOOLS TRUST LTD,17335,TR00774,7667407,10058884,East of England,136834;136969;136998,3,3,0,0,0,0,3,0,2,1,764,104.5,17%,83%,4%,13%,47.5,97%,0.05,-0.06,0.15,46%,4.02,11%,14%,21%,35,98%,-0.54,-0.78,-0.29,25%,2.92,4%,7%,14%,50,97%,0.17,0.05,0.28,50%,4.24,13%,16%,22%,Average,136834;136969;136998,3,3,0,0,0,0,764,17%,83%
202223,AcademicYear,Multi-academy trusts,ABBEY MULTI ACADEMY TRUST,2046,TR00002,7705552,10059141,Yorkshire and the Humber,137036;137083;144809,3,1,2,0,0,0,3,0,0,3,641,104,26%,74%,19%,14%,45.7,95%,-0.02,-0.13,0.09,44%,3.9,12%,19%,32%,34.5,89%,-0.48,-0.71,-0.25,22%,2.85,4%,8%,17%,49.6,97%,0.13,0,0.26,51%,4.28,15%,23%,37%,Average,137036;137083;144809,3,1,2,0,0,0,641,26%,74%
202223,AcademicYear,Multi-academy trusts,ACADEMIES ENTERPRISE TRUST,2053,TR00008,6625091,10033736,East of England,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,21,0,0,21,3671,103.1,35%,65%,17%,17%,42.4,93%,-0.2,-0.24,-0.15,38%,3.58,10%,17%,34%,34.6,95%,-0.59,-0.67,-0.52,24%,2.85,5%,10%,28%,46.6,92%,0.03,-0.03,0.09,46%,3.98,13%,21%,37%,Below average,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,3671,35%,65%
202223,AcademicYear,Multi-academy trusts,ACADEMY TRANSFORMATION TRUST,2062,TR00015,7846852,10039859,East of England,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,10,0,0,10,1532,102.1,32%,68%,14%,15%,40.7,95%,-0.17,-0.24,-0.1,33%,3.58,11%,21%,52%,32.9,96%,-0.6,-0.73,-0.47,20%,2.81,5%,11%,39%,44.3,94%,0.03,-0.05,0.12,39%,3.93,15%,26%,58%,Below average,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,1532,32%,68%
202223,AcademicYear,Multi-academy trusts,THE ACTIVE LEARNING TRUST LIMITED,2075,TR00024,7903002,10059514,East of England,138177;138373;139272;140881,4,1,3,0,0,0,4,0,0,4,753,102.5,28%,72%,7%,16%,38.1,97%,-0.51,-0.61,-0.41,27%,3.26,7%,12%,26%,29.3,96%,-0.93,-1.13,-0.74,13%,2.5,4%,7%,24%,41.5,98%,-0.35,-0.47,-0.23,33%,3.55,8%,14%,27%,Well below average,138177;138373;139272;140881,4,1,3,0,0,0,753,28%,72%
202223,AcademicYear,Multi-academy trusts,ALDRIDGE EDUCATION,2096,TR00628,5670663,10058195,North West,135580;136164;137063;139924;141321;144900;146303,7,1,4,0,1,1,7,0,0,7,1018,102.4,36%,64%,19%,16%,39.8,92%,-0.35,-0.44,-0.26,31%,3.37,8%,12%,24%,30.5,93%,-0.77,-0.92,-0.62,16%,2.53,3%,6%,17%,44.9,91%,-0.12,-0.23,0,40%,3.83,11%,16%,28%,Below average,135580;136164;137063;139924;141321;144900;146303,7,1,4,0,1,1,1018,36%,64%
202223,AcademicYear,Multi-academy trusts,AMBITIONS ACADEMIES TRUST,2128,TR02316,7977940,10059666,South West,136206;138385;139037;147214;147291,5,2,2,0,1,0,5,0,2,3,647,101.9,35%,65%,7%,21%,36.2,94%,-0.57,-0.68,-0.45,26%,2.96,3%,6%,12%,28.5,96%,-0.96,-1.15,-0.77,14%,2.28,0%,1%,5%,40.4,93%,-0.34,-0.48,-0.2,33%,3.33,5%,9%,16%,Well below average,136206;138385;139037;147214;147291,5,2,2,0,1,0,647,35%,65%
202223,AcademicYear,Multi-academy trusts,ARK SCHOOLS,2157,TR00081,5112090,10044534,London,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318,20,1,15,4,0,0,20,0,0,20,3017,102.9,52%,48%,49%,17%,45.2,90%,0.14,0.09,0.2,44%,4.1,17%,27%,52%,41,92%,-0.09,-0.17,-0.02,36%,3.68,12%,21%,48%,49.8,88%,0.41,0.33,0.49,53%,4.55,23%,34%,57%,Above average,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318,20,1,15,4,0,0,3017,52%,48%
202223,AcademicYear,Multi-academy trusts,THE ARTHUR TERRY LEARNING PARTNERSHIP,2166,TR00089,7730920,10034759,West Midlands,136986;138136;138137;144721;146493,5,4,1,0,0,0,5,0,2,3,910,104.4,30%,70%,8%,17%,43.6,96%,-0.34,-0.43,-0.25,40%,3.92,17%,30%,50%,32.1,97%,-0.87,-1.04,-0.69,21%,2.85,9%,14%,35%,48.4,96%,-0.12,-0.23,-0.01,47%,4.37,20%,36%,56%,Below average,136986;137209;138136;138137;144721;146493,6,5,1,0,0,0,1095,29%,71%
202223,AcademicYear,Multi-academy trusts,ASPIRATIONS ACADEMIES TRUST,2186,TR00103,7867577,10059468,London,137009;138499;139711;140886;142126;145119;145121;147443,8,1,5,0,2,0,8,0,1,7,1025,103.7,30%,70%,18%,17%,40.1,93%,-0.48,-0.57,-0.4,32%,3.59,9%,16%,43%,32.8,95%,-0.92,-1.09,-0.76,20%,2.87,4%,9%,33%,43.3,93%,-0.29,-0.4,-0.18,37%,3.89,11%,20%,48%,Below average,137009;138499;139711;140886;142126;145119;145121;147443,8,1,5,0,2,0,1025,30%,70%
202223,AcademicYear,Multi-academy trusts,ASTON COMMUNITY EDUCATION TRUST,2195,TR00105,7577113,10058668,Yorkshire and the Humber,136127;136718;143141,3,1,2,0,0,0,3,0,0,3,597,103.2,25%,75%,6%,16%,41.7,98%,-0.32,-0.43,-0.21,40%,3.64,12%,21%,45%,31.2,96%,-0.81,-1.04,-0.58,20%,2.64,3%,10%,30%,45.3,99%,-0.16,-0.29,-0.02,47%,3.99,15%,25%,50%,Below average,136127;136718;143141,3,1,2,0,0,0,597,25%,75%
202223,AcademicYear,Multi-academy trusts,AVANTI SCHOOLS TRUST,2209,TR00112,7506598,10058487,London,138227;143679;147650,3,0,0,3,0,0,3,1,0,2,318,105.5,13%,87%,32%,8%,56.2,84%,0.79,0.62,0.96,68%,5.33,39%,53%,76%,47.6,83%,0.44,-0.04,0.91,46%,4.4,24%,40%,57%,57.4,84%,0.84,0.65,1.02,70%,5.45,41%,55%,79%,Well above average,138227;143679;147650,3,0,0,3,0,0,318,13%,87%
202223,AcademicYear,Multi-academy trusts,BECKFOOT TRUST,2270,TR00163,8155088,10059960,Yorkshire and the Humber,139975;142031;143112;143114,4,1,3,0,0,0,4,0,0,4,934,103.1,31%,69%,22%,26%,41.6,98%,-0.26,-0.35,-0.17,37%,3.44,6%,8%,11%,32.3,96%,-0.68,-0.84,-0.51,23%,2.65,3%,4%,7%,45.8,98%,-0.07,-0.18,0.04,44%,3.8,7%,10%,13%,Below average,139975;142031;143112;143114,4,1,3,0,0,0,934,31%,69%
202223,AcademicYear,Multi-academy trusts,ST THOMAS AQUINAS CATHOLIC MULTI ACADEMY TRUST,2354,TR00235,8090890,10059818,East Midlands,138290;138298;146196;146232,4,4,0,0,0,0,4,0,0,4,800,105.3,15%,85%,34%,10%,51.9,95%,0.34,0.24,0.44,52%,4.58,24%,32%,41%,40.5,97%,-0.44,-0.69,-0.18,30%,3.44,8%,12%,24%,53.9,95%,0.47,0.37,0.58,56%,4.78,27%,35%,44%,Above average,138290;138298;146196;146232,4,4,0,0,0,0,800,15%,85%
202223,AcademicYear,Multi-academy trusts,ARCHWAY LEARNING TRUST,2363,TR00242,7875164,10052837,East Midlands,137798;139765;140369;145146,4,3,1,0,0,0,4,0,0,4,713,103.3,48%,52%,31%,17%,43.8,96%,-0.13,-0.23,-0.02,37%,3.7,11%,17%,25%,38.3,96%,-0.46,-0.61,-0.3,28%,3.22,8%,13%,22%,48.8,97%,0.17,0.02,0.32,45%,4.14,14%,20%,28%,Below average,136716;137798;139765;140369;143934;145146;148538,7,5,2,0,0,0,1228,44%,56%
202223,AcademicYear,Multi-academy trusts,BOHUNT EDUCATION TRUST,2368,TR00246,7535642,10058531,South East,136643;136903;138287;140424;141175;142181,6,3,3,0,0,0,6,0,0,6,1501,105.5,15%,85%,7%,13%,49.4,96%,0.03,-0.05,0.1,52%,4.45,22%,31%,52%,33,95%,-0.82,-1.01,-0.63,20%,2.87,9%,11%,30%,52.3,96%,0.17,0.09,0.25,57%,4.72,24%,35%,56%,Average,136643;136903;138287;140424;141175;142181;148221,7,4,3,0,0,0,1858,15%,85%
202223,AcademicYear,Multi-academy trusts,BOURNE EDUCATION TRUST,2386,TR00263,7768726,10059305,South East,137595;138460;138765;139948;144741;145125,6,3,2,1,0,0,6,1,0,5,908,104.7,21%,79%,15%,17%,46.2,88%,-0.07,-0.17,0.02,42%,4.02,16%,22%,37%,33.4,87%,-0.76,-0.98,-0.54,18%,2.83,3%,5%,26%,49.7,88%,0.11,0,0.22,49%,4.34,20%,26%,40%,Average,137595;138460;138765;139948;143419;143420;144741;145125,8,3,4,1,0,0,1150,22%,78%
202223,AcademicYear,Multi-academy trusts,BRADFORD DIOCESAN ACADEMIES TRUST,2408,TR00278,8258994,10060130,Yorkshire and the Humber,138087;140429;142590;142825,4,2,2,0,0,0,4,0,0,4,932,102.2,37%,63%,18%,14%,39.8,97%,-0.32,-0.41,-0.23,32%,3.31,10%,17%,35%,31.1,97%,-0.7,-0.85,-0.54,18%,2.5,6%,10%,25%,44.9,98%,-0.1,-0.22,0.01,40%,3.79,13%,22%,40%,Below average,138087;140429;142590;142825,4,2,2,0,0,0,932,37%,63%
202223,AcademicYear,Multi-academy trusts,BRIDGWATER & TAUNTON COLLEGE TRUST,2434,TR00296,8098956,10059829,South West,136791;137080;138375;139655,4,2,2,0,0,0,4,1,0,3,564,101.9,25%,75%,8%,29%,38.1,95%,-0.33,-0.45,-0.21,26%,3.19,5%,9%,17%,30.7,96%,-0.8,-1.04,-0.56,15%,2.53,2%,5%,12%,40.7,94%,-0.16,-0.3,-0.03,30%,3.41,7%,11%,19%,Below average,136791;137080;138375;139655,4,2,2,0,0,0,564,25%,75%
202223,AcademicYear,Multi-academy trusts,BRIGHT FUTURES EDUCATIONAL TRUST,2437,TR00298,7695771,10046414,North West,137289;138097;140021,3,1,2,0,0,0,3,0,0,3,516,106.3,39%,61%,30%,21%,50.2,80%,-0.28,-0.41,-0.14,49%,4.78,41%,46%,66%,27.4,81%,-1.32,-1.54,-1.1,14%,2.44,7%,12%,46%,64.8,80%,0.4,0.22,0.57,72%,6.28,63%,67%,79%,Below average,137289;138097;140021,3,1,2,0,0,0,516,39%,61%
