Column,Metafile heading,Metafile description,new for 2023
1,TIME_PERIOD,,
2,TIME_IDENTIFIER,,
3,TRUST_GROUP_TYPE,Trust type,
4,TRUST_NAME,Trust name,
5,TRUST_UID,Trust Unique identifier,
6,TRUST_ID,Trust Identifier,
7,TRUST_COMPANIES_HOUSE_NUMBER,Trust companies house number,
8,TRUST_UKPRN,Trust UK provider reference number,
9,TRUST_LEADREGION,Trust lead region,
10,INSTITUTIONS_MATPTINC,"URNs, included in performance measures",
11,NUMINST_MATPTINC,"Number of academies in the trust, included in performance measures",
12,NUMINST_CONVERTER_MATPTINC,"Number of converter academies, included in performance measures",
13,NUMINST_SPONSOR_MATPTINC,"Number of sponsor-led academies, included in performance measures",
14,NUMINST_FREE_MATPTINC,"Number of free school - mainstream academies, included in performance measures",YES
15,NUMINST_STUDIO_MATPTINC,"Number of free school - studio schools, included in performance measures",YES
16,NUMINST_UTC_MATPTINC,"Number of free school - UTCs, included in performance measures",YES
17,NUMINST_FSM6CLA1A_MATPTINC,"Number of academies with disadvantaged pupils, included in performance measures",
18,NUMINST_3_MATPTINC,"Number of academies that have been in the trust for 3 years, included in performance measures",
19,NUMINST_4_MATPTINC,"Number of academies that have been in the trust for 4 years, included in performance measures",
20,NUMINST_5PLUS_MATPTINC,"Number of academies that have been in the trust for 5 years or more, included in performance measures",
21,TPUP_MATPTINC,"Number of pupils at the end of ks4, included in performance measures",
22,KS2ASS_MATPTINC,"KS4 cohort average KS2 Scaled Score (average of English reading and maths), included in performance measures",
23,PFSM6CLA1A_MATPTINC,"% of pupils at the end of ks4 who are disadvantaged, included in performance measures",
24,PNOTFSM6CLA1A_MATPTINC,"% of pupils at the end of ks4 who are not disadvantaged, included in performance measures",
25,PEALGRP2_MATPTINC,"% of pupils at the end of ks4 with English as additional language (EAL), included in performance measures",
26,PSEN_ALL4_MATPTINC,"% of pupils at the end of ks4 with special educational needs (SEN) including those with or without an Education, health and care (EHC) plan, included in performance measures",
27,ATT8SCR_WGTAVG,"Average Attainment 8 score per pupil at the end of KS4, weighted average",
28,P8MEACOV,% of pupils at the end of ks4 included in Progress 8 measure,
29,P8MEA_WGTAVG,"Progress 8 measure after adjustment for extreme scores, weighted average",
30,P8CILOW,Progress 8 lower 95% confidence interval for adjusted average,
31,P8CIUPP,Progress 8 upper 95% confidence interval for adjusted average,
32,PTL2BASICS_95_WGTAVG,"% of pupils at the end of KS4 achieving strong 9-5 passes in both English and mathematics GCSEs , weighted average",
33,EBACCAPS_WGTAVG,"Average EBacc APS score per pupil at the end of KS4, weighted average",
34,PTEBACC_95_WGTAVG,"% of pupils at the end of KS4 achieving the English Baccalaureate with 9-5 passes, weighted average",
35,PTEBACC_94_WGTAVG,"% of pupils at the end of KS4 achieving the English Baccalaureate with 9-4 passes, weighted average",
36,PTEBACC_E_PTQ_EE_WGTAVG,"% of pupils at the end of KS4 with entries in all English Baccalaureate subject areas, weighted average",
37,ATT8SCR_WGTAVG_FSM6CLA1A,"Average Attainment 8 score per disadvantaged pupil at the end of KS4, weighted average",
38,P8MEACOV_FSM6CLA1A,% of disadvantaged pupils at the end of ks4 included in Progress 8 measure,
39,P8MEA_WGTAVG_FSM6CLA1A,"Progress 8 measure after adjustment for extreme scores for disadvantaged pupils, weighted average",
40,P8CILOW_FSM6CLA1A,Progress 8 lower 95% confidence interval for adjusted average for disadvantaged pupils,
41,P8CIUPP_FSM6CLA1A,Progress 8 upper 95% confidence interval for adjusted average for disadvantaged pupils,
42,PTL2BASICS_95_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 achieving strong 9-5 passes in both English and mathematics GCSEs , weighted average",
43,EBACCAPS_WGTAVG_FSM6CLA1A,"Average EBacc APS score per disadvantaged pupil at the end of KS4, weighted average",
44,PTEBACC_95_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-5 passes, weighted average",
45,PTEBACC_94_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-4 passes, weighted average",
46,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 with entries in all English Baccalaureate subject areas, weighted average",
47,ATT8SCR_WGTAVG_NFSM6CLA1A,"Average Attainment 8 score per non-disadvantaged pupil at the end of KS4, weighted average",
48,P8MEACOV_NFSM6CLA1A,% of non-disadvantaged pupils at the end of ks4 included in Progress 8 measure,
49,P8MEA_WGTAVG_NFSM6CLA1A,"Progress 8 measure after adjustment for extreme scores for non-disadvantaged pupils, weighted average",
50,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval for adjusted average for non-disadvantaged pupils,
51,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval for adjusted average for non-disadvantaged pupils,
52,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving strong 9-5 passes in both English and mathematics GCSEs , weighted average",
53,EBACCAPS_WGTAVG_NFSM6CLA1A,"Average EBacc APS score per non-disadvantaged pupil at the end of KS4, weighted average",
54,PTEBACC_95_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-5 passes, weighted average",
55,PTEBACC_94_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-4 passes, weighted average",
56,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 with entries in all English Baccalaureate subject areas, weighted average",
57,P8_BANDING,Progress 8 banding shown on performance tables website,YES
58,INSTITUTIONS_INMAT,"URNs, including mainstream academies not in performance measures",
59,NUMINST_INMAT,"Number of academies in the trust, including those not in performance measures",
60,NUMINST_CONVERTER_INMAT,"Number of converter academies, including those not in performance measures",
61,NUMINST_SPONSOR_INMAT,"Number of sponsor-led academies, including those not in performance measures",
62,NUMINST_FREE_INMAT,"Number of free school - mainstream academies, including those not in performance measures",YES
63,NUMINST_STUDIO_INMAT,"Number of free school - studio schools, including those not in performance measures",YES
64,NUMINST_UTC_INMAT,"Number of free school - UTCs, including those not in performance measures",YES
65,TPUP_INMAT,"Number of pupils at the end of KS4, including those not in performance measures",
66,PFSM6CLA1A_INMAT,"% of pupils at the end of KS4 who are disadvantaged, including those not in performance measures",
67,PNOTFSM6CLA1A_INMAT,"% of pupils at the end of KS4 who are not disadvantaged, including those not in performance measures",
